ID,Type,Case,Floor,N_i,Vy_i,Vz_i,T_i,My_i,Mz_i,N_j,Vy_j,Vz_j,T_j,My_j,Mz_j
16,muro,C2,FOUNDATION -> CIELO_1S,442.62,0.0,0.0,0.0,600.82,0.0,442.62,0.0,0.0,0.0,600.82,0.0
16,muro,C3,FOUNDATION -> CIELO_1S,442.62,0.0,0.0,0.0,600.82,0.0,442.62,0.0,0.0,0.0,600.82,0.0
17,muro,C1,CIELO_1S -> CIELO_1,354.1,0.0,0.0,0.0,480.65,0.0,354.1,0.0,0.0,0.0,480.65,0.0
17,muro,C2,CIELO_1S -> CIELO_1,354.1,0.0,0.0,0.0,480.65,0.0,354.1,0.0,0.0,0.0,480.65,0.0
17,muro,C3,CIELO_1S -> CIELO_1,354.1,0.0,0.0,0.0,480.65,0.0,354.1,0.0,0.0,0.0,480.65,0.0
18,muro,C1,CIELO_1 -> CIELO_2,265.57,0.0,0.0,0.0,360.49,0.0,265.57,0.0,0.0,0.0,360.49,0.0
18,muro,C2,CIELO_1 -> CIELO_2,265.57,0.0,0.0,0.0,360.49,0.0,265.57,0.0,0.0,0.0,360.49,0.0
18,muro,C3,CIELO_1 -> CIELO_2,265.57,0.0,0.0,0.0,360.49,0.0,265.57,0.0,0.0,0.0,360.49,0.0
19,muro,C1,CIELO_2 -> CIELO_3,177.05,0.0,0.0,0.0,240.33,0.0,177.05,0.0,0.0,0.0,240.33,0.0
19,muro,C2,CIELO_2 -> CIELO_3,177.05,0.0,0.0,0.0,240.33,0.0,177.05,0.0,0.0,0.0,240.33,0.0
19,muro,C3,CIELO_2 -> CIELO_3,177.05,0.0,0.0,0.0,240.33,0.0,177.05,0.0,0.0,0.0,240.33,0.0
2,muro,C1,CIELO_1S -> CIELO_1,354.1,0.0,0.0,0.0,480.65,0.0,354.1,0.0,0.0,0.0,480.65,0.0
2,muro,C2,CIELO_1S -> CIELO_1,354.1,0.0,0.0,0.0,480.65,0.0,354.1,0.0,0.0,0.0,480.65,0.0
2,muro,C3,CIELO_1S -> CIELO_1,354.1,0.0,0.0,0.0,480.65,0.0,354.1,0.0,0.0,0.0,480.65,0.0
20,muro,C1,CIELO_3 -> CIELO_4,88.52,0.0,0.0,0.0,120.16,0.0,88.52,0.0,0.0,0.0,120.16,0.0
20,muro,C2,CIELO_3 -> CIELO_4,88.52,0.0,0.0,0.0,120.16,0.0,88.52,0.0,0.0,0.0,120.16,0.0
20,muro,C3,CIELO_3 -> CIELO_4,88.52,0.0,0.0,0.0,120.16,0.0,88.52,0.0,0.0,0.0,120.16,0.0
21,muro,C1,FOUNDATION -> CIELO_1S,205.04,0.0,0.0,0.0,347.9,0.0,205.04,0.0,0.0,0.0,347.9,0.0
21,muro,C2,FOUNDATION -> CIELO_1S,205.04,0.0,0.0,0.0,347.9,0.0,205.04,0.0,0.0,0.0,347.9,0.0
21,muro,C3,FOUNDATION -> CIELO_1S,205.04,0.0,0.0,0.0,347.9,0.0,205.04,0.0,0.0,0.0,347.9,0.0
22,muro,C1,CIELO_1S -> CIELO_1,164.03,0.0,0.0,0.0,278.32,0.0,164.03,0.0,0.0,0.0,278.32,0.0
22,muro,C2,CIELO_1S -> CIELO_1,164.03,0.0,0.0,0.0,278.32,0.0,164.03,0.0,0.0,0.0,278.32,0.0
22,muro,C3,CIELO_1S -> CIELO_1,164.03,0.0,0.0,0.0,278.32,0.0,164.03,0.0,0.0,0.0,278.32,0.0
23,muro,C1,CIELO_1 -> CIELO_2,123.02,0.0,0.0,0.0,208.74,0.0,123.02,0.0,0.0,0.0,208.74,0.0
23,muro,C2,CIELO_1 -> CIELO_2,123.02,0.0,0.0,0.0,208.74,0.0,123.02,0.0,0.0,0.0,208.74,0.0
23,muro,C3,CIELO_1 -> CIELO_2,123.02,0.0,0.0,0.0,208.74,0.0,123.02,0.0,0.0,0.0,208.74,0.0
24,muro,C1,CIELO_2 -> CIELO_3,82.02,0.0,0.0,0.0,139.16,0.0,82.02,0.0,0.0,0.0,139.16,0.0
24,muro,C2,CIELO_2 -> CIELO_3,82.02,0.0,0.0,0.0,139.16,0.0,82.02,0.0,0.0,0.0,139.16,0.0
24,muro,C3,CIELO_2 -> CIELO_3,82.02,0.0,0.0,0.0,139.16,0.0,82.02,0.0,0.0,0.0,139.16,0.0
25,muro,C1,CIELO_3 -> CIELO_4,41.01,0.0,0.0,0.0,69.58,0.0,41.01,0.0,0.0,0.0,69.58,0.0
25,muro,C2,CIELO_3 -> CIELO_4,41.01,0.0,0.0,0.0,69.58,0.0,41.01,0.0,0.0,0.0,69.58,0.0
25,muro,C3,CIELO_3 -> CIELO_4,41.01,0.0,0.0,0.0,69.58,0.0,41.01,0.0,0.0,0.0,69.58,0.0
26,muro,C1,FOUNDATION -> CIELO_1S,205.04,0.0,0.0,0.0,347.9,0.0,205.04,0.0,0.0,0.0,347.9,0.0
26,muro,C2,FOUNDATION -> CIELO_1S,205.04,0.0,0.0,0.0,347.9,0.0,205.04,0.0,0.0,0.0,347.9,0.0
26,muro,C3,FOUNDATION -> CIELO_1S,205.04,0.0,0.0,0.0,347.9,0.0,205.04,0.0,0.0,0.0,347.9,0.0
27,muro,C1,CIELO_1S -> CIELO_1,164.03,0.0,0.0,0.0,278.32,0.0,164.03,0.0,0.0,0.0,278.32,0.0
27,muro,C2,CIELO_1S -> CIELO_1,164.03,0.0,0.0,0.0,278.32,0.0,164.03,0.0,0.0,0.0,278.32,0.0
27,muro,C3,CIELO_1S -> CIELO_1,164.03,0.0,0.0,0.0,278.32,0.0,164.03,0.0,0.0,0.0,278.32,0.0
28,muro,C1,CIELO_1 -> CIELO_2,123.02,0.0,0.0,0.0,208.74,0.0,123.02,0.0,0.0,0.0,208.74,0.0
28,muro,C2,CIELO_1 -> CIELO_2,123.02,0.0,0.0,0.0,208.74,0.0,123.02,0.0,0.0,0.0,208.74,0.0
28,muro,C3,CIELO_1 -> CIELO_2,123.02,0.0,0.0,0.0,208.74,0.0,123.02,0.0,0.0,0.0,208.74,0.0
29,muro,C1,CIELO_2 -> CIELO_3,82.02,0.0,0.0,0.0,139.16,0.0,82.02,0.0,0.0,0.0,139.16,0.0
29,muro,C2,CIELO_2 -> CIELO_3,82.02,0.0,0.0,0.0,139.16,0.0,82.02,0.0,0.0,0.0,139.16,0.0
29,muro,C3,CIELO_2 -> CIELO_3,82.02,0.0,0.0,0.0,139.16,0.0,82.02,0.0,0.0,0.0,139.16,0.0
3,muro,C1,CIELO_1 -> CIELO_2,265.57,0.0,0.0,0.0,360.49,0.0,265.57,0.0,0.0,0.0,360.49,0.0
3,muro,C2,CIELO_1 -> CIELO_2,265.57,0.0,0.0,0.0,360.49,0.0,265.57,0.0,0.0,0.0,360.49,0.0
3,muro,C3,CIELO_1 -> CIELO_2,265.57,0.0,0.0,0.0,360.49,0.0,265.57,0.0,0.0,0.0,360.49,0.0
